# started on Mon Sep 21 13:32:34 2026

<not counted>,,cpu_atom/cache-references/,0,0.00,,
11515015,,cpu_core/cache-references/,79252015,100.00,,
<not counted>,,cpu_atom/cache-misses/,0,0.00,,
3763415,,cpu_core/cache-misses/,79252015,100.00,,
<not supported>,,cpu_atom/L1-dcache-load-misses/,0,100.00,,
9141918,,cpu_core/L1-dcache-load-misses/,79252015,100.00,,
<not counted>,,cpu_atom/LLC-load-misses/,0,0.00,,
0,,cpu_core/LLC-load-misses/,79252015,100.00,,
