size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
64,594626.833408095,1204568,0,1,235,899,622,363,436,2119,2555
64,594626.833411276,1204566,1,0,295,723,625,387,396,2030,2426
64,594626.833414309,1204568,0,1,177,733,627,364,419,1901,2320
64,594626.833417211,1204566,1,0,172,766,627,379,397,1944,2341
64,594626.833420172,1204568,0,1,169,737,625,356,406,1887,2293
64,594626.833423077,1204566,1,0,184,739,628,393,405,1944,2349
64,594626.833426041,1204568,0,1,179,740,625,365,399,1909,2308
64,594626.833428956,1204566,1,0,167,728,624,382,500,1901,2401
256,594626.833433530,1204568,0,1,160,731,835,365,421,2091,2512
256,594626.833436656,1204566,1,0,180,748,622,376,459,1926,2385
256,594626.833439723,1204568,0,1,165,723,631,369,414,1888,2302
256,594626.833442628,1204566,1,0,171,723,633,375,429,1902,2331
256,594626.833445613,1204568,0,1,196,734,630,365,426,1925,2351
256,594626.833448555,1204566,1,0,181,781,612,352,432,1926,2358
256,594626.833451731,1204568,0,1,194,733,636,373,509,1936,2445
256,594626.833454767,1204566,1,0,196,901,642,370,407,2109,2516
256,594626.833457965,1204568,0,1,193,754,668,359,529,1974,2503
256,594626.833461065,1204566,1,0,175,731,633,369,439,1908,2347
256,594626.833464059,1204568,0,1,179,732,627,351,524,1889,2413
256,594626.833467067,1204566,1,0,188,714,630,359,467,1891,2358
256,594626.833470085,1204568,0,1,182,749,622,359,487,1912,2399
256,594626.833473083,1204566,1,0,180,729,619,367,417,1895,2312
256,594626.833476020,1204568,0,1,190,732,645,391,529,1958,2487
256,594626.833479190,1204566,1,0,193,771,615,408,454,1987,2441
256,594626.833482266,1204568,0,1,195,737,627,367,480,1926,2406
256,594626.833485295,1204566,1,0,218,739,637,365,487,1959,2446
256,594626.833488430,1204568,0,1,186,734,625,361,439,1906,2345
256,594626.833491388,1204566,1,0,179,734,655,356,430,1924,2354
256,594626.833494585,1204568,0,1,170,722,622,372,462,1886,2348
256,594626.833497535,1204566,1,0,190,755,630,360,450,1935,2385
256,594626.833500577,1204568,0,1,172,739,623,360,424,1894,2318
256,594626.833503478,1204566,1,0,192,735,630,376,423,1933,2356
256,594626.833506464,1204568,0,1,172,736,624,356,454,1888,2342
256,594626.833509416,1204566,1,0,175,731,622,398,445,1926,2371
256,594626.833512420,1204568,0,1,166,735,633,371,420,1905,2325
256,594626.833515343,1204566,1,0,177,737,850,379,397,2143,2540
256,594626.833518521,1204568,0,1,158,729,620,360,453,1867,2320
256,594626.833521552,1204566,1,0,177,736,615,366,460,1894,2354
1024,594626.833526864,1204568,0,1,169,734,630,360,545,1893,2438
1024,594626.833529959,1204566,1,0,183,736,623,358,514,1900,2414
1024,594626.833533145,1204568,0,1,175,748,660,355,509,1938,2447
1024,594626.833536236,1204566,1,0,166,740,630,402,574,1938,2512
1024,594626.833539475,1204568,0,1,163,739,622,381,524,1905,2429
1024,594626.833542577,1204566,1,0,179,735,618,368,487,1900,2387
1024,594626.833545692,1204568,0,1,168,726,727,364,541,1985,2526
1024,594626.833548885,1204566,1,0,187,735,649,354,532,1925,2457
1024,594626.833552025,1204568,0,1,175,726,620,369,490,1890,2380
1024,594626.833555068,1204566,1,0,178,733,629,371,493,1911,2404
1024,594626.833558203,1204568,0,1,176,736,678,363,523,1953,2476
1024,594626.833561349,1204566,1,0,182,729,693,373,541,1977,2518
1024,594626.833564538,1204568,0,1,184,733,625,354,497,1896,2393
1024,594626.833567730,1204566,1,0,180,741,621,371,494,1913,2407
1024,594626.833570824,1204568,0,1,201,728,635,357,537,1921,2458
1024,594626.833573942,1204566,1,0,195,734,639,376,517,1944,2461
1024,594626.833577176,1204568,0,1,181,726,627,357,500,1891,2391
1024,594626.833580261,1204566,1,0,188,730,611,376,504,1905,2409
1024,594626.833583548,1204568,0,1,172,733,622,362,493,1889,2382
1024,594626.833586612,1204566,1,0,183,746,612,366,492,1907,2399
1024,594626.833589697,1204568,0,1,173,761,645,361,502,1940,2442
1024,594626.833592808,1204566,1,0,187,734,618,352,497,1891,2388
1024,594626.833595871,1204568,0,1,174,716,625,382,499,1897,2396
1024,594626.833598924,1204566,1,0,179,734,618,397,491,1928,2419
1024,594626.833602053,1204568,0,1,180,734,619,359,512,1892,2404
1024,594626.833605125,1204566,1,0,183,739,614,376,557,1912,2469
1024,594626.833608284,1204568,0,1,175,737,626,357,564,1895,2459
1024,594626.833611414,1204566,1,0,197,728,628,417,496,1970,2466
1024,594626.833614573,1204568,0,1,184,735,638,350,494,1907,2401
1024,594626.833617615,1204566,1,0,187,733,618,377,540,1915,2455
4096,594626.833623443,1204568,0,1,201,732,660,402,2969,1995,4964
4096,594626.833629145,1204566,1,0,194,727,668,388,2519,1977,4496
4096,594626.833634475,1204568,0,1,853,,,1197,919,2228,3147
4096,594626.833638349,1204566,1,0,190,754,757,403,913,2104,3017
4096,594626.833642145,1204568,0,1,535,,,1233,916,1961,2877
4096,594626.833645717,1204566,1,0,218,752,661,405,815,2036,2851
4096,594626.833649355,1204568,0,1,198,749,773,488,891,2208,3099
4096,594626.833653250,1204566,1,0,185,737,623,362,871,1907,2778
4096,594626.833656953,1204568,0,1,227,728,628,397,877,1980,2857
4096,594626.833660568,1204566,1,0,182,721,617,376,922,1896,2818
4096,594626.833664216,1204568,0,1,168,738,631,358,906,1895,2801
4096,594626.833667983,1204566,1,0,205,739,620,380,830,1944,2774
4096,594626.833671526,1204568,0,1,165,729,622,637,840,2153,2993
4096,594626.833675261,1204566,1,0,309,736,688,355,823,2088,2911
4096,594626.833678937,1204568,0,1,170,732,622,355,813,1879,2692
4096,594626.833682400,1204566,1,0,213,736,659,379,847,1987,2834
4096,594626.833686013,1204568,0,1,180,737,620,386,966,1923,2889
4096,594626.833689659,1204566,1,0,173,733,623,375,822,1904,2726
4096,594626.833693115,1204568,0,1,187,736,621,351,1064,1895,2959
4096,594626.833696818,1204566,1,0,176,734,622,375,1059,1907,2966
4096,594626.833700528,1204568,0,1,183,739,626,353,775,1901,2676
4096,594626.833703913,1204566,1,0,185,740,608,365,1004,1898,2902
4096,594626.833707581,1204568,0,1,358,712,649,375,781,2094,2875
4096,594626.833711197,1204566,1,0,181,727,630,374,818,1912,2730
