size_bytes,total_bytes,repeat,elapsed_ns,mb_per_sec
4,8000000,0,408038553.6,18.698
4,8000000,1,527730945.8,14.457
4,8000000,2,531544240.4,14.353
16,32000000,0,545866086.4,55.907
16,32000000,1,550884282.2,55.397
16,32000000,2,549618632.5,55.525
64,67108864,0,342233785.5,187.007
64,67108864,1,340910964.1,187.732
64,67108864,2,342888954.1,186.649
256,67108864,0,96311293.9,664.512
256,67108864,1,97584257.6,655.843
256,67108864,2,96136659.3,665.719
1024,67108864,0,32696991.0,1957.367
1024,67108864,1,32300394.3,1981.400
1024,67108864,2,32325691.4,1979.849
4096,67108864,0,14287678.4,4479.384
4096,67108864,1,14685397.3,4358.071
4096,67108864,2,15144393.9,4225.986
16384,67108864,0,15722609.7,4070.571
16384,67108864,1,15193669.6,4212.281
16384,67108864,2,15336118.9,4173.155
65536,67108864,0,18357424.8,3486.328
65536,67108864,1,18124714.9,3531.090
65536,67108864,2,18122970.7,3531.430
262144,67108864,0,20206220.6,3167.341
262144,67108864,1,20639601.0,3100.835
262144,67108864,2,20322237.9,3149.259
524288,67108864,0,20731223.6,3087.131
524288,67108864,1,20644894.0,3100.040
524288,67108864,2,20689099.6,3093.416
