size_bytes,total_bytes,repeat,elapsed_ns,mb_per_sec
4,8000000,0,541920387.0,14.078
4,8000000,1,569781794.8,13.390
4,8000000,2,574346488.2,13.284
16,32000000,0,463475014.0,65.845
16,32000000,1,466804413.9,65.376
16,32000000,2,457803179.3,66.661
64,67108864,0,330252585.9,193.791
64,67108864,1,338645674.1,188.988
64,67108864,2,333543881.9,191.879
256,67108864,0,93842186.4,681.996
256,67108864,1,92652332.9,690.754
256,67108864,2,94497647.0,677.266
1024,67108864,0,34944542.7,1831.473
1024,67108864,1,33694161.7,1899.439
1024,67108864,2,33689253.3,1899.716
4096,67108864,0,15545657.9,4116.905
4096,67108864,1,15583505.1,4106.907
4096,67108864,2,15345912.2,4170.492
16384,67108864,0,15423610.5,4149.482
16384,67108864,1,14727993.6,4345.466
16384,67108864,2,15069770.8,4246.913
65536,67108864,0,19603677.1,3264.694
65536,67108864,1,18889574.4,3388.112
65536,67108864,2,18934905.2,3380.001
262144,67108864,0,19933780.5,3210.630
262144,67108864,1,19980301.9,3203.155
262144,67108864,2,19903532.5,3215.510
524288,67108864,0,20227983.7,3163.934
524288,67108864,1,20186436.8,3170.446
524288,67108864,2,20000000.6,3200.000
