size_bytes,total_bytes,repeat,elapsed_ns,mb_per_sec
4,8000000,0,363310330.7,21.000
4,8000000,1,590132524.4,12.928
4,8000000,2,576180332.1,13.241
16,32000000,0,491915448.2,62.038
16,32000000,1,450705757.0,67.711
16,32000000,2,495881326.3,61.542
64,67108864,0,366909992.7,174.430
64,67108864,1,374094101.2,171.080
64,67108864,2,364916254.0,175.383
256,67108864,0,99512800.8,643.133
256,67108864,1,99613517.9,642.483
256,67108864,2,100012150.7,639.922
1024,67108864,0,33865136.3,1889.849
1024,67108864,1,33216012.8,1926.782
1024,67108864,2,32407401.7,1974.857
4096,67108864,0,15355438.1,4167.905
4096,67108864,1,15164435.0,4220.401
4096,67108864,2,15282871.7,4187.695
16384,67108864,0,15439612.9,4145.182
16384,67108864,1,13864749.0,4616.023
16384,67108864,2,13858072.1,4618.247
65536,67108864,0,20926145.8,3058.375
65536,67108864,1,20473142.9,3126.047
65536,67108864,2,20448974.1,3129.741
262144,67108864,0,18441853.2,3470.367
262144,67108864,1,17653628.8,3625.317
262144,67108864,2,17610578.2,3634.179
524288,67108864,0,19307762.6,3314.729
524288,67108864,1,19323624.8,3312.008
524288,67108864,2,19818997.0,3229.225
