size_bytes,total_bytes,repeat,elapsed_ns,mb_per_sec
4,8000000,0,597802739.3,12.762
4,8000000,1,637307521.0,11.971
4,8000000,2,631682859.9,12.078
16,32000000,0,655443857.3,46.560
16,32000000,1,660783712.4,46.184
16,32000000,2,639694335.3,47.707
64,67108864,0,380821545.9,168.058
64,67108864,1,382420175.2,167.355
64,67108864,2,382329318.7,167.395
256,67108864,0,101236140.5,632.185
256,67108864,1,102568755.4,623.972
256,67108864,2,102899314.8,621.967
1024,67108864,0,34069073.2,1878.537
1024,67108864,1,34595036.1,1849.976
1024,67108864,2,34132431.2,1875.050
4096,67108864,0,14220491.5,4500.548
4096,67108864,1,14544507.9,4400.286
4096,67108864,2,14595767.0,4384.833
16384,67108864,0,14817827.2,4319.122
16384,67108864,1,14067218.7,4549.584
16384,67108864,2,13495943.2,4742.166
65536,67108864,0,18206105.3,3515.304
65536,67108864,1,18885094.0,3388.916
65536,67108864,2,17889665.1,3577.485
262144,67108864,0,19325686.7,3311.655
262144,67108864,1,19501552.5,3281.790
262144,67108864,2,19463306.3,3288.239
524288,67108864,0,18712835.2,3420.112
524288,67108864,1,18393087.8,3479.568
524288,67108864,2,17999338.1,3555.686
